Id,Stopname,Polsub,Xcoord,Ycoord,Turnout,Shelter,Bench,PWD
78,Bonneville @ Martin Luther King (E),Las Vegas,-115.160139,36.166154,None,0,1,1
81,Alta @ Rainbow (E),Las Vegas,-115.243415,36.166363,None,1,1,1
82,Alta @ Rainbow (W),Las Vegas,-115.245119,36.166568,None,1,1,1
83,Alta @ Rancho (E),Las Vegas,-115.171846,36.166077,None,1,1,1
84,Alta @ Rancho (W),Las Vegas,-115.174276,36.166216,None,1,1,1
85,Alta @ Roland Wiley (W),Las Vegas,-115.27388,36.16651,None,0,0,1
86,Alta @ Villa Monterey (W),Las Vegas,-115.262007,36.16664,None,1,1,1
92,Alta @ Slayton (E),Las Vegas,-115.226689,36.166304,None,0,1,1
95,Alta @ Torrey Pines (E),Las Vegas,-115.232454,36.166328,None,0,0,1
96,Alta @ Torrey Pines (W),Las Vegas,-115.233697,36.166518,None,0,1,1
97,Alta @ Upland (E),Las Vegas,-115.216989,36.165939,None,0,1,1
98,Alta @ Valley View (E),Las Vegas,-115.191447,36.166155,None,1,1,1
100,Alta @ Vassar (W),Las Vegas,-115.239958,36.166538,None,0,1,1
101,Alta @ Vassar (E),Las Vegas,-115.240177,36.166354,None,0,0,1
102,Alta @ 7800 Alta (W),Las Vegas,-115.265077,36.166609,None,0,1,1
114,Arizona @ California (W),Boulder City,-114.83457,35.978319,None,1,2,1
126,Arville @ Flamingo (N),Clark County,-115.199293,36.116067,None,1,1,1
127,Arville @ Flamingo (S),Clark County,-115.199508,36.115009,None,1,1,1
128,Arville @ Harmon (N),Clark County,-115.199224,36.109208,None,0,1,1
129,Arville @ Harmon (S),Clark County,-115.199447,36.10755,None,0,0,0
131,Arville @ Rochelle (S),Clark County,-115.199465,36.11174,None,0,1,1
132,Arville @ Rancho Mirage Apts (N),Clark County,-115.19927,36.112995,None,0,0,1
133,Arville @ Tompkins (S),Clark County,-115.199371,36.10419,None,0,1,1
135,Arville @ Twain (S),Clark County,-115.199377,36.121836,None,0,1,1
136,Arville @ Viking (S),Clark County,-115.199432,36.119361,None,0,1,1
137,Arville @ Viking (N),Clark County,-115.19922,36.119552,None,0,1,1
158,Bonanza @ D (W),Las Vegas,-115.147628,36.177362,None,0,0,1
159,Bonanza @ City Parkway (E),Las Vegas,-115.148499,36.177172,None,1,1,1
161,Bonanza @ H (W),Las Vegas,-115.153016,36.177244,None,0,0,1
162,Bonanza @ Nifty Nickel (E),Las Vegas,-115.156164,36.177052,None,0,1,1
163,Bonanza @ Nifty Nickel (W),Las Vegas,-115.155555,36.177222,None,0,1,1
165,Bonanza @ 23rd (E),Las Vegas,-115.118217,36.173859,Turn Lane,1,1,1
166,Bonanza @ 9th (E),Las Vegas,-115.13312,36.17396,None,0,1,1
167,Bonanza @ Las Vegas (W),Las Vegas,-115.135858,36.174455,None,1,1,1
168,Bonanza @ Animal Kindness Vet (W),Las Vegas,-115.066877,36.17404,None,0,1,1
171,Bonanza @ Bruce (E),Las Vegas,-115.124363,36.173871,None,1,1,1
172,Bonanza @ Bruce (W),Las Vegas,-115.125617,36.174137,None,0,0,1
174,Bonanza @ Clarkway (E),Las Vegas,-115.166571,36.177078,None,0,0,1
177,Bonanza @ Christy (W),Clark County,-115.053477,36.174217,None,0,0,1
178,Bonanza @ Dike (W),Las Vegas,-115.17324,36.177259,None,0,0,1
179,Bonanza @ Eastern (E),Las Vegas,-115.115238,36.173797,None,1,1,1
180,Bonanza @ Eastern (W),Las Vegas,-115.116707,36.17413,None,2,2,1
184,Bonanza @ Honolulu (E),Las Vegas,-115.092321,36.173376,None,1,1,1
185,Bonanza @ Honolulu (W),Las Vegas,-115.092964,36.173594,None,0,1,1
187,Bonanza @ Hubbard (W),Las Vegas,-115.078743,36.173643,None,0,1,1
188,Bonanza @ Las Vegas (E),Las Vegas,-115.136395,36.174508,None,1,1,1
190,Bonanza @ Lamb (E),Las Vegas,-115.079524,36.17339,None,1,1,1
191,Bonanza @ Lamb (W),Las Vegas,-115.081208,36.17361,Turn Lane,1,1,1
192,Bonanza @ Lillian (E),Las Vegas,-115.064826,36.173856,None,1,1,1
194,Bonanza @ Linn (W),Clark County,-115.049299,36.17437,None,1,1,1
195,Bonanza @ MLK (E),Las Vegas,-115.159496,36.177024,None,1,1,1
196,Bonanza @ Sunny (W),Las Vegas,-115.162145,36.177204,None,1,1,1
199,Bonanza @ Main (W),Las Vegas,-115.143351,36.177396,None,1,0,1
200,Bonanza @ Marion (E),Las Vegas,-115.070672,36.173675,None,0,1,1
201,Bonanza @ Maryland (E),Las Vegas,-115.130079,36.173946,None,1,1,1
202,Bonanza @ Maryland (W),Las Vegas,-115.131052,36.174125,None,0,0,1
203,Bonanza @ McKnight (W),Las Vegas,-115.112698,36.173923,None,1,1,1
204,Bonanza @ 28th (E),Las Vegas,-115.112394,36.173696,None,0,1,1
205,Bonanza @ Memory (W),Clark County,-115.045629,36.17448,None,0,1,1
206,Bonanza @ Mojave (E),Las Vegas,-115.105145,36.173534,None,1,1,1
207,Bonanza @ Mojave (W),Las Vegas,-115.106448,36.17382,None,1,1,1
208,Bonanza @ Navajo (W),Clark County,-115.056829,36.174217,None,0,0,1
210,Bonanza @ Nellis (W),Las Vegas,-115.064065,36.174106,None,0,1,1
211,Bonanza @ Page (E),Las Vegas,-115.075256,36.173532,None,0,0,1
212,Bonanza @ Pecos (E),Las Vegas,-115.097127,36.173379,None,1,1,1
213,Bonanza @ Pecos (W),Las Vegas,-115.09918,36.173669,None,2,2,1
214,Bonanza @ Prescott (W),Las Vegas,-115.070076,36.173915,None,0,0,0
215,Bonanza @ Rancho (E),Las Vegas,-115.173879,36.177082,None,1,1,1
217,Bonanza @ Reef (W),Las Vegas,-115.095858,36.17363,None,1,1,1
218,Bonanza @ Rodney (W),Las Vegas,-115.07389,36.173827,None,0,1,1
219,Bonanza @ Sandhill (E),Las Vegas,-115.088638,36.173357,None,1,1,1
220,Bonanza @ Wardelle (E),Las Vegas,-115.109955,36.173637,None,1,1,1
225,Bonanza @ Tonopah (E),Las Vegas,-115.169368,36.177082,None,0,0,1
226,Bonanza @ Tonopah (W),Las Vegas,-115.170583,36.177229,None,1,1,1
227,Bonanza @ Triest (E),Las Vegas,-115.085689,36.173373,None,1,2,1
228,Bonanza @ Triest (W),Las Vegas,-115.087209,36.17359,None,1,1,1
229,Bonanza @ Las Vegas (E),Las Vegas,-115.138163,36.175277,None,0,1,1
230,Bonanza @ Wardelle (W),Las Vegas,-115.109998,36.173862,None,1,1,1
236,Boulder @ 4 Mile Bar (S),Clark County,-115.096002,36.140569,None,1,1,1
242,Railroad Pass Hotel & Casino (S),Henderson,-114.91175,35.97221,None,0,1,1
246,Boulder @ Basic (S),Henderson,-114.974487,36.032539,None,1,1,1
247,Boulder @ Boulder Station Hotel & Casino (N),Clark County,-115.086309,36.132586,None,2,2,1
248,Boulder @ College (N),Henderson,-114.961749,36.021832,Other - See Comments,1,1,1
249,Boulder @ College (S),Henderson,-114.960953,36.020521,Turn Lane,1,1,1
250,Boulder @ Corn (N),Henderson,-115.005223,36.060508,None,1,1,0
251,Boulder @ Corn (S),Henderson,-115.004641,36.059372,None,1,1,1
252,Boulder @ Dalhart (N),Clark County,-115.094936,36.140224,Other - See Comments,1,1,1
253,Boulder @ Desert Horizons (N),Clark County,-115.037225,36.088976,None,1,1,1
254,Boulder @ Desert Horizons (S),Clark County,-115.037659,36.088729,None,1,1,1
259,Boulder @ Flamingo (S),Clark County,-115.068069,36.11576,Other - See Comments,1,10,1
260,Boulder @ Flamingo (N),Clark County,-115.067173,36.115577,Other - See Comments,1,10,1
262,Boulder @ Coogan (S),Henderson,-115.007293,36.061738,None,1,1,1
267,Boulder @ Greenway (S),Henderson,-114.964467,36.023658,Pocket,1,1,1
268,Boulder @ Hamilton (N),Clark County,-115.040987,36.092346,None,1,1,1
270,Boulder @ Harmon (S),Clark County,-115.058858,36.107583,Other - See Comments,1,1,1
272,Boulder @ Indios (N),Clark County,-115.074242,36.121852,Other - See Comments,1,10,1
273,Boulder @ Indios (S),Clark County,-115.073699,36.120758,Other - See Comments,1,10,1
275,Boulder @ King (N),Henderson,-114.999437,36.055367,None,1,1,1
276,Boulder @ Lake Mead (N),Henderson,-114.982682,36.040496,Turn Lane,1,10,1
278,Boulder @ Lamb (N),Clark County,-115.084147,36.130638,Other - See Comments,1,10,1
281,Boulder @ Magic (S),Henderson,-114.942389,36.003959,One Bus,0,0,0
282,Boulder @ Magic (N),Henderson,-114.94331,36.005415,One Bus,0,0,1
283,Boulder @ Major (N),Henderson,-114.971862,36.03082,None,1,1,1
286,Boulder @ Merlayne (N),Henderson,-115.009186,36.064031,None,1,1,1
287,Boulder @ Missouri (N),Clark County,-115.044947,36.095865,None,1,1,1
289,Boulder @ Museum (S),Henderson,-114.947098,36.008178,None,0,0,0
290,Boulder @ Museum (N),Henderson,-114.947149,36.008879,Turn Lane,0,0,0
292,Boulder @ Nellis (S),Clark County,-115.064129,36.112263,Other - See Comments,1,10,1
293,Boulder @ Nellis (N),Clark County,-115.063453,36.112271,Other - See Comments,1,10,1
295,Boulder @ Warm Springs (N),Henderson,-114.995476,36.051838,None,1,1,1
296,Boulder @ Warm Springs (S),Henderson,-114.995796,36.051466,Turn Lane,1,1,1
297,Boulder @ Palo Verde (N),Henderson,-114.965796,36.025463,Turn Lane,1,1,1
298,Boulder @ Roberts (N),Henderson,-114.940399,36.002858,Turn Lane,1,1,1
299,Boulder @ Roberts (S),Henderson,-114.94025,36.002089,None,1,1,0
300,Boulder @ Rolly (N),Henderson,-115.001875,36.057526,None,1,1,1
301,Boulder @ Rolly (S),Henderson,-115.00158,36.056645,None,0,0,0
303,Boulder @ Russell (S),Clark County,-115.032256,36.08393,None,1,1,1
307,Boulder @ Snap (S),Henderson,-114.999785,36.055052,None,1,1,1
308,Boulder @ Eastside Cannery (N),Clark County,-115.057589,36.107064,None,2,2,1
314,Boulder @ Tropicana (S),Clark County,-115.051156,36.101344,Other - See Comments,1,10,1
318,Boulder @ Water (N),Henderson,-114.989121,36.046184,None,0,0,0
319,Boulder @ Water (S),Henderson,-114.988274,36.044809,Other - See Comments,0,0,1
332,Bruce @ Gragson (S),Las Vegas,-115.125227,36.182897,None,0,0,1
335,Bruce @ Searles (S),Las Vegas,-115.12522,36.18453,None,0,2,1
337,Bruce @ Washington (N),Las Vegas,-115.124977,36.18287,None,1,1,0
338,Bruce @ Washington (S),Las Vegas,-115.12524,36.180768,None,0,1,1
339,Buchanan @ Nevada (S),Boulder City,-114.845788,35.97356,None,1,2,1
340,Buchanan @ Pinata (S),Boulder City,-114.845398,35.9702,None,0,1,1
342,Buffalo @ Carmen (S),Las Vegas,-115.260158,36.185429,None,0,0,1
348,Burkholder @ Cabrillo (E),Henderson,-114.96559,36.037425,One Bus,0,2,1
370,Carey @ Bruce (E),North Las Vegas,-115.124541,36.202995,None,1,1,1
371,Carey @ Bruce (W),North Las Vegas,-115.125761,36.203209,None,0,0,1
372,Carey @ Civic Center (E),North Las Vegas,-115.119523,36.203004,One Bus,1,1,1
373,Carey @ Civic Center (W),North Las Vegas,-115.121828,36.203219,None,0,0,1
375,Carey @ Clayton (W),North Las Vegas,-115.170393,36.203056,None,0,0,1
376,Carey @ Commerce (E),North Las Vegas,-115.14179,36.202959,None,1,1,1
377,Carey @ Commerce (W),North Las Vegas,-115.14356,36.203198,None,0,0,1
381,Carey @ Donna (E),North Las Vegas,-115.128934,36.202984,None,1,0,1
382,Carey @ Donna (W),North Las Vegas,-115.130404,36.203203,None,0,0,1
384,Carey @ Englestad (W),North Las Vegas,-115.147563,36.203197,None,0,0,0
397,Carey @ Losee (W),North Las Vegas,-115.139359,36.203238,None,1,1,1
398,Carey @ Losee (E),North Las Vegas,-115.138842,36.202985,Turn Lane,0,0,1
399,Carey @ MLK (E),Las Vegas,-115.160057,36.202919,None,1,1,1
400,Carey @ MLK (W),North Las Vegas,-115.161702,36.203117,None,1,1,1
402,Carey @ North (W),North Las Vegas,-115.15706,36.203198,None,0,1,1
403,Carey @ North (E),Las Vegas,-115.156762,36.202962,None,0,0,1
408,Carey @ Revere (W),North Las Vegas,-115.153388,36.203258,None,1,1,1
411,Carey @ Sierra Sunrise (E),Clark County,-115.01926,36.202429,None,0,0,1
418,Carey @ West (W),North Las Vegas,-115.165842,36.203085,None,1,1,1
440,Center @ Dogwood (S),Henderson,-114.967325,36.046223,None,0,0,1
441,Center @ Ivy (S),Henderson,-114.967334,36.042767,None,0,0,1
442,Center @ Maple (S),Henderson,-114.96739,36.039908,None,0,0,1
443,Warm Springs @ Center (W),Henderson,-114.966306,36.050308,None,1,1,1
445,Charleston @ 10th (E),Las Vegas,-115.140084,36.158745,None,0,1,1
446,Charleston @ Gass (W),Las Vegas,-115.141786,36.158938,None,1,1,1
447,Charleston @ 15th (E),Las Vegas,-115.132255,36.158771,None,0,0,1
448,Charleston @ 15th (W),Las Vegas,-115.133356,36.158995,None,0,1,1
449,Charleston @ 17th (E),Las Vegas,-115.12928,36.158761,None,0,1,1
450,Charleston @ 17th (W),Las Vegas,-115.129482,36.158981,None,0,1,1
451,Charleston @ 28th (E),Clark County,-115.110957,36.158699,Turn Lane,1,0,1
452,Charleston @ 28th (W),Clark County,-115.112364,36.158946,None,1,1,1
453,Charleston @ Antelope (E),Las Vegas,-115.249912,36.158978,Turn Lane,1,1,1
455,Charleston @ Arden (E),Clark County,-115.073841,36.158867,None,0,1,1
456,Charleston @ Arville (W),Las Vegas,-115.200271,36.159159,None,0,1,1
457,Charleston @ Betty (W),Clark County,-115.058354,36.159296,None,0,0,1
458,Charleston @ Broadalbin (E),Clark County,-115.082766,36.158815,None,0,0,1
459,Charleston @ Bruce (E),Las Vegas,-115.124453,36.158752,None,1,1,1
460,Charleston @ Bruce (W),Las Vegas,-115.125824,36.158978,None,0,1,1
461,Charleston @ Brush (W),Las Vegas,-115.210909,36.159224,None,1,1,1
462,Charleston @ Brush (E),Las Vegas,-115.209626,36.158962,One Bus,1,1,1
463,Charleston @ Buffalo (E),Las Vegas,-115.261609,36.158991,None,1,1,1
464,Charleston @ Cahlan (E),Las Vegas,-115.178365,36.158821,None,1,1,1
465,Charleston @ Campbell (E),Las Vegas,-115.182829,36.158846,None,1,1,1
466,Charleston @ Campbell (W),Las Vegas,-115.18398,36.159067,None,0,1,1
467,Charleston @ Cashman (E),Las Vegas,-115.185964,36.158864,None,0,1,1
468,Charleston @ 3400 W. Charleston (W),Las Vegas,-115.187451,36.159086,None,0,1,1
470,Charleston @ Christy (W),Clark County,-115.054281,36.159459,None,0,1,1
472,Charleston @ Crestwood (E),Las Vegas,-115.120525,36.158743,None,0,1,1
473,Charleston @ Decatur (E),Las Vegas,-115.20473,36.158943,Turn Lane,2,2,1
474,Charleston @ Decatur (W),Las Vegas,-115.206551,36.159218,Turn Lane,1,1,1
477,Charleston @ Durango (E),Las Vegas,-115.279466,36.158958,None,0,1,1
478,Charleston @ Durango (W),Las Vegas,-115.280807,36.159175,None,1,1,1
479,Charleston @ Eastern (W),Las Vegas,-115.119857,36.158962,None,1,1,1
480,Charleston @ Faircenter (E),Las Vegas,-115.200781,36.158945,None,1,1,1
482,Charleston @ Frank (E),Clark County,-115.067983,36.15886,Turn Lane,0,0,1
483,Charleston @ Fremont (E),Clark County,-115.115516,36.15874,None,1,1,1
484,Charleston @ Hinson (E),Las Vegas,-115.194804,36.158911,None,0,0,1
485,Charleston @ Hinson (W),Las Vegas,-115.196039,36.15914,None,0,1,1
486,Charleston @ Honolulu (W),Las Vegas,-115.094151,36.158963,None,0,1,1
487,Charleston @ Jones (E),Las Vegas,-115.222962,36.159051,One Bus,1,1,1
488,Charleston @ Jones (W),Las Vegas,-115.224926,36.159309,None,0,1,1
489,Charleston @ Las Vegas (E),Las Vegas,-115.147005,36.158734,None,1,1,1
490,Charleston @ Las Vegas (W),Las Vegas,-115.148204,36.158957,None,0,2,1
491,Charleston @ Lamb (E),Clark County,-115.079742,36.158848,None,1,1,1
492,Charleston @ Lamb (W),Las Vegas,-115.081447,36.159063,None,1,1,1
495,Charleston @ Marion (W),Las Vegas,-115.073181,36.159085,None,1,1,1
496,Charleston @ Marion (W),Las Vegas,-115.07665,36.159101,One Bus,1,1,1
497,Charleston @ Maryland (E),Las Vegas,-115.136234,36.158763,None,1,1,1
498,Charleston @ Maryland (W),Las Vegas,-115.13779,36.159004,One Bus,2,2,1
499,Charleston @ Mohawk (E),Las Vegas,-115.214512,36.159037,None,1,1,1
500,Charleston @ Mohawk (W),Las Vegas,-115.215781,36.159288,Turn Lane,1,1,1
501,Charleston @ Mojave (E),Las Vegas,-115.106353,36.158725,None,1,1,1
502,Charleston @ Mojave (W),Las Vegas,-115.106102,36.158947,None,0,1,1
503,Charleston @ Nellis (E),Clark County,-115.061301,36.15895,None,1,1,1
504,Charleston @ Nellis (W),Las Vegas,-115.063968,36.159153,One Bus,1,1,1
507,Charleston @ Odette (W),Las Vegas,-115.287579,36.15921,One Bus,1,1,1
508,Charleston @ Palm (E),Clark County,-115.100674,36.158722,None,1,0,1
509,Charleston @ Plantation (E),Las Vegas,-115.255819,36.158999,None,1,1,1
510,Charleston @ Palmhurst (W),Las Vegas,-115.255654,36.159212,None,0,0,1
511,Charleston @ Pecos (W),Las Vegas,-115.099004,36.158977,One Bus,1,1,1
512,Charleston @ Pecos (W),Las Vegas,-115.102265,36.158976,Turn Lane,1,0,1
513,Charleston @ Pleasant Brook (E),Clark County,-115.056724,36.159144,None,0,0,1
515,Charleston @ Rainbow (E),Las Vegas,-115.242706,36.15901,None,1,1,1
516,Charleston @ Rainbow (W),Las Vegas,-115.244603,36.159235,None,1,1,1
517,Charleston @ Rancho (E),Las Vegas,-115.172033,36.158762,None,1,1,1
518,Charleston @ Rancho (W),Las Vegas,-115.173398,36.159007,None,1,1,1
519,Charleston @ Redwood (W),Las Vegas,-115.239945,36.159242,None,1,1,1
522,Charleston @ Sacramento (E),Clark County,-115.087007,36.158796,None,1,1,1
523,Charleston @ Sacramento (W),Las Vegas,-115.088303,36.159001,None,1,1,1
524,Charleston @ Sandhill (E),Clark County,-115.094607,36.158711,One Bus,1,1,1
525,Charleston @ Torrey Pines (E),Las Vegas,-115.237176,36.159039,None,1,1,1
527,Charleston @ Shetland (W),Las Vegas,-115.178297,36.159032,None,1,1,1
529,Charleston @ Linn (W),Clark County,-115.048505,36.159523,None,1,1,1
530,Charleston @ Tomsik (E),Las Vegas,-115.272341,36.158971,None,1,1,1
531,Charleston @ Tonopah (W),Las Vegas,-115.170629,36.159018,None,0,1,1
532,Charleston @ Community College (W),Las Vegas,-115.232072,36.159302,One Bus,1,1,1
533,Charleston @ Torrey Pines (E),Las Vegas,-115.23402,36.159055,None,1,1,1
534,Charleston @ Torrey Pines (W),Las Vegas,-115.235842,36.15926,None,0,1,1
535,Charleston @ Upland (W),Las Vegas,-115.220527,36.159286,None,0,1,1
536,Charleston @ Valley View (E),Las Vegas,-115.191553,36.158898,None,1,1,1
538,Charleston @ Warbonnet (E),Las Vegas,-115.266414,36.158981,None,1,1,1
540,Charleston @ Westwind (E),Las Vegas,-115.218688,36.159062,None,1,1,1
541,Charleston @ Pahor (E),Las Vegas,-115.168063,36.158776,None,0,2,1
542,Charleston @ Shadow (W),Las Vegas,-115.166251,36.159018,Turn Lane,1,1,1
543,Charleston @ Lamont (W),Las Vegas,-115.069275,36.159137,One Bus,1,1,1
544,Cheyenne @ Sandy (W),North Las Vegas,-115.10058,36.21754,None,1,1,1
545,Cheyenne @ Airport Hangar (W),North Las Vegas,-115.201663,36.217462,None,0,0,1
546,Cheyenne @ Valley (E),North Las Vegas,-115.201239,36.217237,None,1,1,1
547,Cheyenne @ Allen (E),North Las Vegas,-115.187698,36.217403,None,1,1,1
548,Cheyenne @ Allen (W),North Las Vegas,-115.189435,36.217603,None,0,0,1
549,Cheyenne @ Berg (W),North Las Vegas,-115.113427,36.217767,None,0,0,1
550,Cheyenne @ Berg (E),North Las Vegas,-115.112408,36.217536,None,0,1,1
551,Cheyenne @ Bucyrus Erie (E),North Las Vegas,-115.130009,36.217602,None,0,1,1
552,Cheyenne @ Buffalo (W),Las Vegas,-115.26118,36.218407,None,0,1,1
553,Cheyenne @ California (E),North Las Vegas,-115.194525,36.21732,None,0,0,1
554,Cheyenne @ Cimarron (W),Las Vegas,-115.265577,36.218507,None,1,1,1
555,Cheyenne @ 5th (E),North Las Vegas,-115.136413,36.217687,None,0,0,1
556,Cheyenne @ Civic Center (E),North Las Vegas,-115.11931,36.217522,Turn Lane,1,1,1
557,Cheyenne @ Clayton (E),North Las Vegas,-115.169576,36.217552,None,1,1,1
558,Cheyenne @ Clayton (W),North Las Vegas,-115.170882,36.217764,None,1,1,1
559,Cheyenne @ Commerce (E),North Las Vegas,-115.142567,36.217847,None,0,0,1
560,Cheyenne @ Commerce (W),North Las Vegas,-115.143649,36.218117,One Bus,1,1,1
561,Cheyenne @ Decatur (E),North Las Vegas,-115.20682,36.21718,None,1,1,1
562,Cheyenne @ Decatur (W),Las Vegas,-115.20841,36.217377,None,1,1,1
563,Cheyenne @ Marion (W),Clark County,-115.071827,36.217859,None,0,0,0
564,Cheyenne @ Abels (E),Clark County,-115.075196,36.217614,None,0,0,1
565,Cheyenne @ Englestad (W),North Las Vegas,-115.148258,36.21801,None,1,1,1
566,Cheyenne @ Horizon School (E),North Las Vegas,-115.147102,36.217802,None,1,1,0
567,Cheyenne @ Jones (E),Las Vegas,-115.224886,36.216684,Turn Lane,1,1,0
568,Cheyenne @ Jones (W),Las Vegas,-115.227255,36.217073,None,1,1,1
569,Cheyenne @ Lamb (E),Clark County,-115.079441,36.217599,None,0,0,1
570,Cheyenne @ Lamb (W),Clark County,-115.080747,36.217859,Two Bus,1,1,1
571,Cheyenne @ Lamont (E),Clark County,-115.066074,36.21796,None,0,0,1
572,Cheyenne @ Lamont (W),Clark County,-115.067303,36.218097,None,0,1,1
573,Cheyenne @ Las Vegas (E),Clark County,-115.092598,36.21756,None,0,0,1
574,Cheyenne @ Losee (W),North Las Vegas,-115.129025,36.217816,None,1,1,1
575,Cheyenne @ MLK (E),North Las Vegas,-115.16062,36.217583,None,1,1,1
576,Cheyenne @ MLK (W),North Las Vegas,-115.162727,36.217839,Two Bus,1,1,1
577,Cheyenne @ Mary Dee (W),North Las Vegas,-115.11824,36.217766,None,1,1,1
578,Cheyenne @ Maverick (W),Las Vegas,-115.230575,36.217349,None,1,1,1
579,Cheyenne @ Michael (E),Las Vegas,-115.216273,36.216896,None,0,1,1
580,Cheyenne @ Michael (W),Las Vegas,-115.217412,36.217083,None,1,1,1
581,Cheyenne @ Miramar (W),Las Vegas,-115.22179,36.217068,None,0,1,1
582,Cheyenne @ 5th (E),North Las Vegas,-115.133487,36.217619,None,0,0,1
583,Cheyenne @ 5th (W),North Las Vegas,-115.134599,36.217899,None,0,0,1
585,Cheyenne @ Nellis (W),Clark County,-115.062955,36.218389,Turn Lane,1,1,1
586,Cheyenne @ Pecos (E),Clark County,-115.097855,36.21754,None,0,0,1
587,Cheyenne @ Pecos (W),North Las Vegas,-115.099191,36.217761,None,1,1,1
588,Cheyenne @ Rainbow (E),Las Vegas,-115.241509,36.21803,None,1,1,1
589,Cheyenne @ Rainbow (W),Las Vegas,-115.243038,36.21836,None,1,1,1
590,Cheyenne @ Ramrod (E),Clark County,-115.236069,36.217567,None,0,0,1
591,Cheyenne @ Rancho (E),North Las Vegas,-115.210977,36.217047,None,1,1,1
592,Cheyenne @ Rancho (W),Las Vegas,-115.21366,36.217197,None,1,1,1
593,Cheyenne @ Sandy (W),Clark County,-115.094366,36.217782,None,0,0,1
594,Cheyenne @ Serene (W),Las Vegas,-115.240789,36.218229,None,0,0,1
595,Cheyenne @ Simmons (E),North Las Vegas,-115.178514,36.217448,Turn Lane,1,1,1
596,Cheyenne @ Simmons (W),North Las Vegas,-115.18004,36.21774,None,1,1,1
597,Cheyenne @ Soaring Gulls (W),Las Vegas,-115.274772,36.218656,None,1,1,1
598,Cheyenne @ Tenaya (E),Las Vegas,-115.250614,36.218069,Turn Lane,1,1,1
